"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 15:47:54 GMT 2021","Mon Oct 25 15:49:00 GMT 2021","65758","","complexTests.PositiveTests","","complexTests.PositiveTests","t00000","Full Positive User Registration",""
"passed","Mon Oct 25 16:23:19 GMT 2021","Mon Oct 25 16:24:09 GMT 2021","50524","","complexTests.PositiveTests","","complexTests.PositiveTests","t00500","Conversation test: step 1 out of 3",""
"passed","Mon Oct 25 16:03:46 GMT 2021","Mon Oct 25 16:05:42 GMT 2021","115890","","complexTests.PositiveTests","","complexTests.PositiveTests","t00103","Basic positive service publishing, service location: Online(2)",""
"passed","Mon Oct 25 16:27:19 GMT 2021","Mon Oct 25 16:28:28 GMT 2021","69446","","complexTests.PositiveTests","","complexTests.PositiveTests","t00602","Add master to favorite from master's profile",""
"passed","Mon Oct 25 16:37:35 GMT 2021","Mon Oct 25 16:38:41 GMT 2021","66035","","complexTests.PositiveTests","","complexTests.PositiveTests","t00805","Search page search: speciality",""
"passed","Mon Oct 25 16:18:26 GMT 2021","Mon Oct 25 16:19:14 GMT 2021","47728","","complexTests.PositiveTests","","complexTests.PositiveTests","t00305","Master side order cancel",""
"passed","Mon Oct 25 15:41:43 GMT 2021","Mon Oct 25 15:43:10 GMT 2021","87412","","userProfile.UserProfileTests","","userProfile.UserProfileTests","t00002","Profile: main - change all the info and verify",""
"passed","Mon Oct 25 16:24:09 GMT 2021","Mon Oct 25 16:24:59 GMT 2021","49293","","complexTests.PositiveTests","","complexTests.PositiveTests","t00501","Conversation test: step 2 out of 3",""
"passed","Mon Oct 25 16:31:35 GMT 2021","Mon Oct 25 16:33:34 GMT 2021","119169","","complexTests.PositiveTests","","complexTests.PositiveTests","t00701","Basic booking: guest",""
"passed","Mon Oct 25 15:52:14 GMT 2021","Mon Oct 25 15:53:21 GMT 2021","66630","","complexTests.PositiveTests","","complexTests.PositiveTests","t00004","Full Positive User Registration",""
"passed","Mon Oct 25 16:01:39 GMT 2021","Mon Oct 25 16:03:46 GMT 2021","127478","","complexTests.PositiveTests","","complexTests.PositiveTests","t00102","Basic positive service publishing with no account, service location: Online",""
"failed","Mon Oct 25 16:14:07 GMT 2021","Mon Oct 25 16:15:01 GMT 2021","54454","","complexTests.PositiveTests","","complexTests.PositiveTests","t00300","Check orders from user side",""
"passed","Mon Oct 25 16:33:34 GMT 2021","Mon Oct 25 16:34:20 GMT 2021","46057","","complexTests.PositiveTests","","complexTests.PositiveTests","t00800","Main page search: professional name",""
"passed","Mon Oct 25 16:19:14 GMT 2021","Mon Oct 25 16:20:17 GMT 2021","63837","","complexTests.PositiveTests","","complexTests.PositiveTests","t00400","Post and check review with 10 words",""
"failed","Mon Oct 25 15:45:00 GMT 2021","Mon Oct 25 15:47:06 GMT 2021","125978","","userProfile.UserProfileTests","","userProfile.UserProfileTests","t00004","Profile: about - change info and verify",""
"passed","Mon Oct 25 15:39:09 GMT 2021","Mon Oct 25 15:40:19 GMT 2021","69841","","userProfile.UserProfileTests","","userProfile.UserProfileTests","t00000","Full Positive User Registration",""
"passed","Mon Oct 25 15:54:30 GMT 2021","Mon Oct 25 15:56:41 GMT 2021","131020","","complexTests.PositiveTests","","complexTests.PositiveTests","t00006","Basic positive service publishing, service location: Online",""
"passed","Mon Oct 25 15:51:19 GMT 2021","Mon Oct 25 15:52:14 GMT 2021","55250","","complexTests.PositiveTests","","complexTests.PositiveTests","t00003","Basic Positive User Registration",""
"passed","Mon Oct 25 16:26:15 GMT 2021","Mon Oct 25 16:27:19 GMT 2021","63940","","complexTests.PositiveTests","","complexTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Mon Oct 25 16:35:06 GMT 2021","Mon Oct 25 16:35:53 GMT 2021","46552","","complexTests.PositiveTests","","complexTests.PositiveTests","t00802","Main page search: speciality",""
"failed","Mon Oct 25 16:15:01 GMT 2021","Mon Oct 25 16:15:55 GMT 2021","53729","","complexTests.PositiveTests","","complexTests.PositiveTests","t00301","Master completes order: online",""
"passed","Mon Oct 25 15:49:00 GMT 2021","Mon Oct 25 15:50:09 GMT 2021","69076","","complexTests.PositiveTests","","complexTests.PositiveTests","t00001","Full Positive User Registration",""
"failed","Mon Oct 25 16:25:44 GMT 2021","Mon Oct 25 16:26:15 GMT 2021","30626","","complexTests.PositiveTests","","complexTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Mon Oct 25 16:16:42 GMT 2021","Mon Oct 25 16:17:28 GMT 2021","45729","","complexTests.PositiveTests","","complexTests.PositiveTests","t00303","Master completes order: master's place",""
"passed","Mon Oct 25 16:20:17 GMT 2021","Mon Oct 25 16:21:26 GMT 2021","68822","","complexTests.PositiveTests","","complexTests.PositiveTests","t00401","Post and check review with a lot of characters",""
"failed","Mon Oct 25 16:21:26 GMT 2021","Mon Oct 25 16:22:24 GMT 2021","57667","","complexTests.PositiveTests","","complexTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Mon Oct 25 16:15:55 GMT 2021","Mon Oct 25 16:16:42 GMT 2021","47249","","complexTests.PositiveTests","","complexTests.PositiveTests","t00302","Master completes order: client's place",""
"passed","Mon Oct 25 16:12:19 GMT 2021","Mon Oct 25 16:14:07 GMT 2021","107408","","complexTests.PositiveTests","","complexTests.PositiveTests","t00204","Basic booking online (3)",""
"passed","Mon Oct 25 16:24:59 GMT 2021","Mon Oct 25 16:25:44 GMT 2021","45572","","complexTests.PositiveTests","","complexTests.PositiveTests","t00502","Conversation test: step 3 out of 3",""
"passed","Mon Oct 25 16:06:20 GMT 2021","Mon Oct 25 16:08:38 GMT 2021","138557","","complexTests.PositiveTests","","complexTests.PositiveTests","t00201","Basic booking client's place",""
"passed","Mon Oct 25 15:59:13 GMT 2021","Mon Oct 25 16:01:39 GMT 2021","145697","","complexTests.PositiveTests","","complexTests.PositiveTests","t00101","Basic positive service publishing, service location: Professional's place",""
"passed","Mon Oct 25 16:10:30 GMT 2021","Mon Oct 25 16:12:19 GMT 2021","108617","","complexTests.PositiveTests","","complexTests.PositiveTests","t00203","Basic booking online (2)",""
"passed","Mon Oct 25 15:53:21 GMT 2021","Mon Oct 25 15:54:30 GMT 2021","69063","","complexTests.PositiveTests","","complexTests.PositiveTests","t00005","Full Positive User Registration",""
"passed","Mon Oct 25 16:17:28 GMT 2021","Mon Oct 25 16:18:26 GMT 2021","58209","","complexTests.PositiveTests","","complexTests.PositiveTests","t00304","Client side order cancel",""
"passed","Mon Oct 25 16:28:28 GMT 2021","Mon Oct 25 16:29:42 GMT 2021","74072","","complexTests.PositiveTests","","complexTests.PositiveTests","t00603","Add master to favorite from the service info",""
"passed","Mon Oct 25 16:34:20 GMT 2021","Mon Oct 25 16:35:06 GMT 2021","46224","","complexTests.PositiveTests","","complexTests.PositiveTests","t00801","Main page search: service name",""
"failed","Mon Oct 25 16:05:42 GMT 2021","Mon Oct 25 16:06:20 GMT 2021","37728","","complexTests.PositiveTests","","complexTests.PositiveTests","t00200","Basic booking online",""
"passed","Mon Oct 25 15:43:10 GMT 2021","Mon Oct 25 15:45:00 GMT 2021","109526","","userProfile.UserProfileTests","","userProfile.UserProfileTests","t00003","Profile: contacts - change info, add new and verify",""
"passed","Mon Oct 25 16:36:44 GMT 2021","Mon Oct 25 16:37:35 GMT 2021","50956","","complexTests.PositiveTests","","complexTests.PositiveTests","t00804","Search page search: service name",""
"passed","Mon Oct 25 16:29:42 GMT 2021","Mon Oct 25 16:31:35 GMT 2021","112297","","complexTests.PositiveTests","","complexTests.PositiveTests","t00700","Basic booking from the main page: guest",""
"passed","Mon Oct 25 16:08:38 GMT 2021","Mon Oct 25 16:10:30 GMT 2021","112254","","complexTests.PositiveTests","","complexTests.PositiveTests","t00202","Basic booking master's place",""
"passed","Mon Oct 25 16:35:53 GMT 2021","Mon Oct 25 16:36:44 GMT 2021","50777","","complexTests.PositiveTests","","complexTests.PositiveTests","t00803","Search page search: professional name",""
"passed","Mon Oct 25 15:56:41 GMT 2021","Mon Oct 25 15:59:13 GMT 2021","151759","","complexTests.PositiveTests","","complexTests.PositiveTests","t00100","Basic positive service publishing, service location: Client's place",""
"passed","Mon Oct 25 16:22:24 GMT 2021","Mon Oct 25 16:23:19 GMT 2021","54976","","complexTests.PositiveTests","","complexTests.PositiveTests","t00403","Review answer",""
"failed","Mon Oct 25 15:47:07 GMT 2021","Mon Oct 25 15:47:53 GMT 2021","46160","","regressionTests.LoginTests","","regressionTests.LoginTests","t00000","Language retention after registration",""
"failed","Mon Oct 25 15:40:19 GMT 2021","Mon Oct 25 15:41:43 GMT 2021","83668","","userProfile.UserProfileTests","","userProfile.UserProfileTests","t00001","Profile functionality verification",""
"passed","Mon Oct 25 15:50:09 GMT 2021","Mon Oct 25 15:51:19 GMT 2021","69903","","complexTests.PositiveTests","","complexTests.PositiveTests","t00002","Full Positive User Registration",""
